True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
pps	0	0	7	7	10	0	0	0	24	12	0	0	0	3	0	5	0	1	6	4	8	5	0	0	0	1	0	0	0	0	0	0	7	2	0	0
ppt	0	0	15	4	10	0	0	0	19	11	0	0	0	4	0	1	0	1	6	2	6	6	0	0	0	3	0	0	0	2	0	0	9	1	0	2
pptx	0	0	0	10	7	0	0	1	27	19	0	0	0	6	0	0	0	2	7	1	1	9	0	0	0	4	0	1	0	0	0	0	2	0	0	3
ps	0	0	0	0	0	43	0	0	1	2	0	0	0	0	0	0	1	3	0	0	0	1	32	1	0	0	2	0	0	8	0	1	0	0	2	1
rtf	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	70	0	0	7	0	0	2	0	1	17	0	0	0
sql	4	2	0	0	0	3	7	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	48	0	5	0	0	21	0	5	4	0	2	0
swf	0	0	0	2	9	0	0	1	38	7	0	0	0	6	0	3	0	0	3	2	0	3	0	0	0	12	0	0	0	0	0	0	2	1	0	10
tex	3	0	1	0	0	1	2	0	0	0	2	0	2	0	0	0	1	1	0	0	0	0	2	0	0	0	58	0	0	5	5	6	15	0	0	0
text	2	1	7	3	1	6	1	4	5	7	0	0	2	3	0	1	3	0	0	0	1	0	1	0	4	0	1	5	0	4	19	10	12	0	0	0
tmp	0	2	6	0	0	7	0	1	0	0	0	4	1	0	0	0	22	5	0	0	0	0	4	1	4	0	4	1	18	10	7	2	1	0	2	0
troff	0	0	0	0	0	9	8	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	2	1	1	44	1	8	10	0	0	0
txt	3	2	0	0	0	7	6	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	1	0	2	0	2	0	0	12	28	9	26	0	0	0
unk	0	4	8	2	1	0	6	10	7	1	0	1	7	0	0	0	1	1	1	0	0	0	0	0	1	1	2	1	0	4	8	14	14	2	1	0
wp	0	0	3	0	0	0	1	0	4	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	4	85	0	0	0
xls	0	0	22	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	1	7	0	0	0	0	3	0	0	0	1	0	1	9	49	0	0
xml	0	0	0	0	0	1	0	0	0	0	0	3	10	0	30	0	5	2	0	0	0	0	0	2	0	0	6	0	2	0	2	4	5	0	36	0
zip	0	0	0	6	16	0	0	0	26	11	0	0	0	8	0	5	0	1	7	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	12
